theta,wvl,flux,r,n,log_mstar,log_mdust_over_mstar
18.67,6.136388331,6.7458010086368e-11,3.1300986693758546,0.6550285982145043,11.32,-2.74
18.67,6.59161743,5.6552774553938e-11,3.063496262118177,0.697714134865487,11.32,-2.74
18.67,7.080617784,6.9528811584257e-11,3.0176675893824076,0.7080628573840124,11.32,-2.74
18.67,7.605894719,1.0566949279189001e-10,3.063745420039948,0.6939928837980531,11.32,-2.74
18.67,8.17013942,6.318635283898699e-11,3.134286756461839,0.6671097385175675,11.32,-2.74
18.67,8.776242719,3.8548841530995e-11,3.554070886862887,0.5450895772321318,11.32,-2.74
18.67,9.427309902,1.9072582843733e-11,4.04426098845046,0.42037798534260334,11.32,-2.74
18.67,10.12667662,1.6522475066211e-11,4.053663788416078,0.41270821118002704,11.32,-2.74
18.67,10.877926,2.3881064795503e-11,3.7208680597628896,0.495044728467742,11.32,-2.74
18.67,11.68490694,3.4614283201203e-11,3.335329441073159,0.610045043079309,11.32,-2.74
18.67,12.55175392,4.3316287316902e-11,3.025007136258244,0.7057011068003787,11.32,-2.74
18.67,13.48290809,2.4282977981208e-11,2.960654614275333,0.722085747230973,11.32,-2.74
18.67,14.48314011,1.6175206333495e-11,3.0167268353683014,0.7050205405192986,11.32,-2.74
18.67,15.55757453,1.2583267716567e-11,3.161281053804626,0.6551261620629477,11.32,-2.74
18.67,16.71171607,1.0029359835255e-11,3.3829696392609967,0.5857209887687689,11.32,-2.74
18.67,17.9514778,8.732651446144001e-12,3.5405639091947716,0.5386048950255173,11.32,-2.74
18.67,19.28321149,8.804483099172e-12,3.4882952982393776,0.5428117636555951,11.32,-2.74
18.67,20.71374009,9.248401417621999e-12,3.3898525292660846,0.5724166238655076,11.32,-2.74
18.67,22.25039271,1.0136185072537e-11,3.318249360238984,0.6075311311433544,11.32,-2.74
18.67,23.9010422,1.15121854001286e-11,3.2262661512568744,0.5821232190510747,11.32,-2.74
18.67,25.67414542,1.35330339694579e-11,3.1645442604440785,0.6079234467426576,11.32,-2.74
18.67,27.57878663,1.6153052936783402e-11,3.0658661342141627,0.6065184976922386,11.32,-2.74
18.67,29.624724,1.9977865391887902e-11,2.9888998710693118,0.6242566252168597,11.32,-2.74
18.67,31.82243961,2.4971378782737e-11,2.9156038723379942,0.6273736462037227,11.32,-2.74
18.67,34.18319315,3.1218995410264e-11,2.859999339717077,0.6301999911738914,11.32,-2.74
18.67,36.71907964,3.9945327610943e-11,2.7942357580696933,0.6523847991423881,11.32,-2.74
18.67,39.44309132,4.9588531548338e-11,2.7647413269668086,0.6744484016868525,11.32,-2.74
18.67,42.36918432,6.1612778586333e-11,2.71777068086716,0.6970428838661379,11.32,-2.74
18.67,45.51235007,7.5356220724628e-11,2.690059939923259,0.7272125397269567,11.32,-2.74
18.67,48.88869215,8.904833376746901e-11,2.6373386978723206,0.7673511558756676,11.32,-2.74
18.67,52.51550878,1.04234809853444e-10,2.626082750341718,0.7905250494169571,11.32,-2.74
18.67,56.41138148,1.18537812011968e-10,2.6148525328569616,0.8188146001093959,11.32,-2.74
18.67,60.59627021,1.3076218922436e-10,2.6011028427845697,0.8541814633860971,11.32,-2.74
18.67,65.09161568,1.42289415142624e-10,2.5914258541398905,0.8842708444389467,11.32,-2.74
18.67,69.92044919,1.51739773530839e-10,2.585200709169596,0.9181771325587065,11.32,-2.74
18.67,75.1075106,1.5818521977223699e-10,2.5686871104985243,0.9310329806573232,11.32,-2.74
