,x0,x1,y0,y1,mean_y0,mean_y1,std_y0,std_y1
97,-0.8637745,-0.73573834,-0.051117998,-0.8499996,-0.07268243,-0.40431422,0.11034325,0.14907514
98,-0.8604905,-0.7328705,-0.18356718,-0.6948602,-0.07180163,-0.40649274,0.11004151,0.14926034
99,-0.845201,-0.72884876,-0.2441953,-0.51387155,-0.068994306,-0.41438004,0.109020986,0.14949761
100,-0.84460807,-0.7285814,0.07291841,-0.52528405,-0.0688793,-0.41469303,0.1089801,0.14951502
101,-0.8438021,-0.7000337,-0.19010864,-0.74888253,-0.06577298,-0.42057502,0.108105555,0.15137891
102,-0.8374944,-0.6957635,-0.15149389,-0.87936026,-0.06445578,-0.42423436,0.107642144,0.15167922
103,-0.8220336,-0.69341356,-0.40483835,-0.8922221,-0.062173773,-0.4312731,0.106774494,0.15187511
104,-0.8187351,-0.69025654,0.13467896,-0.24662305,-0.061466865,-0.43318963,0.10654514,0.15210691
105,-0.8014138,-0.6794418,-0.07588864,-0.571575,-0.058458924,-0.44169933,0.105585724,0.15295051
106,-0.8004528,-0.67253816,-0.41954413,-0.6606349,-0.05772994,-0.44332334,0.1053973,0.15336351
107,-0.7981248,-0.67161465,-0.06161059,-0.5938327,-0.05740122,-0.44432402,0.10529247,0.15342781
108,-0.79482067,-0.6657883,-0.16643427,-0.7652529,-0.056541875,-0.44653463,0.10505022,0.15376188
109,-0.7914471,-0.6645502,-0.07100074,-0.2944038,-0.056091454,-0.4479193,0.10490749,0.15383027
110,-0.7827242,-0.65960693,-0.34539902,-0.85499823,-0.05481314,-0.45169422,0.10451837,0.15410879
111,-0.77926165,-0.6557977,-0.26844645,-0.8128798,-0.054167654,-0.45349,0.10432595,0.15431897
